EmpID,Name,Age,Department,Salary,JoiningDate
101,Alice,25,HR,50000,2022-01-15
102,Bob,30,IT,60000,2021/05/20
103,Charlie,,IT,55000,15-03-2020
104,David,28,Finance,,2022-13-01
105,Eva,150,HR,52000,2020-08-10
102,Bob,30,IT,60000,2021/05/20
107,,27,Finance,58000,2019-11-11
108,Helen,25,HR,50000,
109,"  James  ",32,IT,65000,2022-06-18
110,Sarah,29,HR,47000,2021-09-25
111,Michael,-5,Finance,72000,2020-11-30
112,Emily,26,IT,abc,2021-12-01
113,David,28,Finance,61000,2022/07/10
114,Alice,25,HR,50000,2022-01-15
115,Rahul,31,Sales,54000,2020-04-15
116,Priya,,Sales,56000,15/08/2021
117,John,35,IT,,2022-05-11
118,Kate,29,HR,48000,not available
119,Tom,45,Finance,78000,2018-10-20
120,Lisa,27,IT,59000,2021-03-05
